Major Heading,Activity Code,MET Value,Activity Description,
Lawn & Garden,8145,4.3,"Planting crops or garden, stooping, moderate effort",
Lawn & Garden,8150,4.5,Planting trees,
Lawn & Garden,8160,4,"Raking lawn or leaves, moderate effort",
Lawn & Garden,8165,4,Raking lawn (Taylor Code 600),
Lawn & Garden,8170,4,Raking roof with snow rake,
Lawn & Garden,8180,3,Riding snow blower,
Lawn & Garden,8190,4,"Sacking grass, leaves",
Lawn & Garden,8192,5.5,Shoveling dirt or mud,
Lawn & Garden,8195,5.3,"Shoveling snow, by hand, moderate effort",
Lawn & Garden,8200,6,"Shoveling snow, by hand (Taylor Code 610)",
Lawn & Garden,8202,7.5,"Shoveling snow, by hand, vigorous effort",
Lawn & Garden,8210,3.8,"Trimming shrubs or trees, manual cutter",
Lawn & Garden,8215,3.3,"Trimming shrubs or trees, power cutter, using leaf blower, edger, moderate effort",
Lawn & Garden,8220,3,"Walking, applying fertilizer or seeding a lawn, push applicator",
Lawn & Garden,8230,4,"Watering lawn or garden, standing or walking",
Lawn & Garden,8239,3.8,"Weeding, cultivating garden, light-to-moderate effort",
Lawn & Garden,8240,4.5,"Weeding, cultivating garden, moderate effort (Taylor Code 580)",
Lawn & Garden,8241,5,"Weeding, cultivating garden, using hoe moderate-to-vigorous effort",
Lawn & Garden,8245,3.8,"Gardening, general, moderate effort",
Lawn & Garden,8246,3.5,"Picking fruit or coffee from trees, moderate effort",
Lawn & Garden,8248,4.5,"Harvesting Produce, Picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort",
Lawn & Garden,8250,3,"Implied walking/standing - picking up yard, light, picking flowers or vegetables",
Lawn & Garden,8251,3,"Walking, gathering gardening tools",
Lawn & Garden,8255,4.8,"Wheel barrow, pushing garden cart or wheelbarrow, general",
Lawn & Garden,8256,6,"Wheel barrow, pushing large garden cart or heavy wheelbarrow up to 150kg",
Lawn & Garden,8260,2.3,"Yardwork, general, light effort",
Lawn & Garden,8261,4,"Yardwork, general, moderate effort",
Lawn & Garden,8262,6,"Yardwork, general, vigorous effort",
Miscellaneous,9000,1.3,"Board game playing, sitting",
Miscellaneous,9005,2.5,"Casino gambling, standing",
Miscellaneous,9010,1.5,"Card playing, sitting",
Miscellaneous,9013,1.5,"Chess game, sitting",
Miscellaneous,9015,1.5,"Copying or filing documents, standing",
Miscellaneous,9020,1.8,"Drawing, writing, painting, standing",
Miscellaneous,9025,1,"Laughter, sitting",
Miscellaneous,9030,1,"Sitting: reading, book, newspaper, magazine",
Miscellaneous,9034,1.8,"sitting, typing or reading on a balance chair/stability ball",
Miscellaneous,9036,2,"watching tv, stepping during commercial breaks",
Miscellaneous,9040,1.3,"Sitting: writing, desk work, typing",
Miscellaneous,9050,1.3,Standing:,"talking in person, on the phone, computer, text messaging, writing"
Miscellaneous,9055,1.3,"Sitting: talking in person, on the phone, computer, or","text messaging, light effort"
Miscellaneous,9060,1.5,"Sitting - studying, general, including reading and/or writing, light effort",
Miscellaneous,9065,1.8,"Sitting - in class, general, including note-taking or class discussion",
Miscellaneous,9070,1,Standing - reading,
Miscellaneous,9071,2.5,Standing: miscellaneous,
Miscellaneous,9075,1.8,"Sitting: arts and crafts, carving wood, weaving, spinning wool, light effort",
Miscellaneous,9080,3,"Sitting: arts and crafts, carving wood, weaving, spinning wool, moderate effort",
Miscellaneous,9085,2.5,"Standing: arts and crafts, sand painting, carving, weaving, light effort",
Miscellaneous,9090,3.3,"Standing - arts and crafts, sand painting, carving, weaving, moderate effort",
Miscellaneous,9095,3.5,"Standing - arts and crafts, sand painting, carving, weaving, vigorous effort",
Miscellaneous,9100,1.5,"Retreat/family reunion activities involving sitting, relaxing, talking, eating",
Miscellaneous,9101,2.5,Retreat/family reunion activities involving playing games with children,
Miscellaneous,9105,2,Touring/traveling/vacation involving,riding in vehicle
Miscellaneous,9106,3.5,Touring/traveling/vacation involving walking,
Miscellaneous,9110,2.5,"Camping involving standing, walking, sitting, light-to-moderate effort",
Miscellaneous,9115,1.5,"Sitting at a sporting event, spectator",
Music Playing,10010,1.8,"Accordion, sitting",
Music Playing,10020,2.3,"Cello, sitting",
Music Playing,10030,2.3,"Conducting orchestra, standing",
Music Playing,10035,2.5,"Double bass, standing",
Music Playing,10040,3.8,"Drums, sitting",
Music Playing,10045,3,"Drumming (e.g., bongo, conga, benbe), moderate, sitting",
Music Playing,10048,8.3,"Drumming, concert/live show",
Music Playing,10050,2,"Flute, sitting",
Music Playing,10060,1.8,"Horn, standing",
Music Playing,10070,2.3,"Piano, sitting",
Music Playing,10074,2,"Playing musical instruments, general",
Music Playing,10077,2,"Organ, sitting",
Music Playing,10080,3.5,"Trombone, standing",
Music Playing,10090,2.5,"Trumpet, standing",
Music Playing,10100,2.5,"Violin, sitting",
Music Playing,10110,1.8,"Woodwind instruments, sitting",
Music Playing,10115,1.8,"Brass instruments, sitting",
Music Playing,10120,2,"Guitar, classical, folk, sitting",
Music Playing,10125,3,"Guitar, rock and roll band, standing",
Music Playing,10130,4,"Marching band, baton twirling, walking, moderate pace, general",
Music Playing,10131,5.5,"Marching band, playing an instrument, walking, brisk pace, general",
Music Playing,10135,3.5,"Marching band, drum major, walking",
Occupation,11000,2,"Active workstation, Pedal desk, balance chair/ball, General, light effort",
Occupation,11001,3.5,"Active workstation, Pedal desk (40 watts)",
Occupation,11002,5.3,"Active workstation, Pedal desk (80 watts)",
Occupation,11003,2,"Active workstation, treadmill desk, walking slowly 1.0 mph or less",
Occupation,11004,2.8,"Active workstation, treadmill desk, walking",1.0 - 2.0 mph
Occupation,11006,3,Airline flight attendant,
Occupation,11008,4.8,Apple Harvesting,
Occupation,11010,4,"Bakery, general, moderate effort",
Occupation,11015,2,"Bakery, light effort",
Occupation,11020,2.3,Bookbinding,
Occupation,11030,6,"Building road, driving heavy machinery",
Occupation,11035,2,"Building road, directing traffic, standing",
Occupation,11038,2.5,"Carpentry, general, light effort",
Occupation,11040,4.3,"Carpentry, general, moderate effort",
Occupation,11042,7,"Carpentry, general, heavy or vigorous effort",
Occupation,11050,8,"Carrying heavy loads (e.g., bricks, tools)",,
Occupation,11060,8,"Carrying moderate loads up stairs, moving","boxes, 25-49 lbs",
Occupation,11070,4,"Chambermaid, hotel housekeeper, making bed,","cleaning bathroom, pushing cart",
Occupation,11072,4.3,"Cleaning, vacuuming commercial space",,
Occupation,11080,5.3,"Coal mining, drilling coal, rock",,
Occupation,11090,5,"Coal mining, erecting supports",,
Occupation,11100,5.5,"Coal mining, general",,
Occupation,11110,6.3,"Coal mining, shoveling coal, by hand",,
Occupation,11115,2.5,"Cook, chef",,
Occupation,11120,4,"Construction, outside, remodeling, new","structures (e.g., roof repair, miscellaneous)",
Occupation,11124,2.3,"Construction, rebar, bar bending/fixing",,
Occupation,11125,2.3,"Custodial work, light effort (e.g., cleaning sink","and toilet, dusting, vacuuming, light cleaning)",
Occupation,11126,3.8,"Custodial work, moderate effort (e.g., buffing","floors with electric buffer, feathering or","sweeping arena floors, mopping, taking out the, trash, vaccuming)",
Occupation,11130,3.3,"Electrical work (e.g., hook up wire, tapping splicing); plumbing moved to11516",
Occupation,11135,1.8,"Engineer (e.g., mechanical or electrical)",
Occupation,11145,7.8,"Farming, vigorous effort (e.g., baling hay,","cleaning barn), includes former code 11200",
Occupation,11146,4.8,"Farming, moderate effort (e.g., feeding","animals, chasing cattle by walking and/or","horseback, spreading manure, harvesting, crops)",
Occupation,11147,2,"Farming, light effort, (e.g., cleaning animal,sheds, preparing animal feed)",
Occupation,11170,2.8,"Farming, driving tasks (e.g., driving tractor or,harvester)",
Occupation,11180,3.5,"Farming, feeding small animals",
Occupation,11190,4.3,"Farming, feeding cattle, horses",
Occupation,11191,4.3,"Farming, hauling water for animals, fetching, water from well or stream",
Occupation,11192,4.5,"Farming, taking care of animals (grooming, brushing, shearing sheep, assisting, with birthing, medical care, branding, general)",
Occupation,11195,3.8,"Farming, rice, planting, grain milling activities",,
Occupation,11210,3.5,"Farming, milking by hand, cleaning pails,",moderate effort,
Occupation,11220,1.3,"Farming, milking by machine, light effort",,
Occupation,11222,3,"Farming, milking Cows, full milking process, modern milking parlor with milking machines",,
Occupation,11240,8,"Fire fighter, general",,
Occupation,11244,6.8,"Fire fighter, rescue victim, automobile","accident, using pike pole",
Occupation,11245,8,"Fire fighter, raising and climbing ladder with","full gear, simulated fire suppression",
Occupation,11246,9,"Fire fighter, hauling hoses on ground,","carrying/hoisting equipment, breaking down","walls etc., wearing full gear"
Occupation,11247,3.5,"Fishing, commercial, light effort",,
Occupation,11248,5,"Fishing, commercial, moderate effort",,
Occupation,11250,17.5,"Forestry, ax chopping, very fast, 1.25 kg axe,","51 blows/min, extremely vigorous effort",
Occupation,11260,5,"Forestry, ax chopping, slow, 1.25 kg axe, 19","blows/min, moderate effort",
Occupation,11262,8,"Forestry, ax chopping, fast, 1.25 kg axe, 35","blows/min, vigorous effort",
Occupation,11264,5,"Forestry, moderate effort (e.g., sawing wood","with power saw, weeding, hoeing)",
Occupation,11266,8.5,"Forestry, vigorous effort (e.g., barking, felling, or trimming trees, carrying or stacking logs, planting seeds, sawing lumber by hand )",
Occupation,11370,4.8,"Furriery",
Occupation,11375,3.8,"Garbage collector, walking, dumping bins into truck, street cleaning",
Occupation,11378,1.8,"Hairstylist (e.g., plaiting hair, manicure, make up artist)",
Occupation,11380,7.3,"Horse grooming, including feeding, cleaning,stalls, bathing, brushing, clipping, longeing and,exercising horses".
Occupation,11381,4.3,"Horse, feeding, watering, cleaning stalls, implied walking and lifting loads",
Occupation,11383,4.5,"Horseback riding, working, cutting cows",
Occupation,11390,7.8,"Horse racing, galloping, cantor",
Occupation,11400,6.3,"Horse racing, Jockey, trotting",
Occupation,11410,2.3,"Horse racing, Jockey, walking",
Occupation,11413,3,Kitchen maid,
Occupation,11415,4,"Lawn keeper, yardwork, general",
Occupation,11416,3,"Lawn keeper, weeding, gas powered",
Occupation,11418,3.3,Laundry worker,
Occupation,11420,3,Locksmith",
Occupation,11430,3,"Machine tooling (e.g., machining, working","sheet metal, machine fitter, operating lathe,",welding) light-to-moderate effort
Occupation,11450,5,"Machine tooling, operating punch press,",moderate effort,
Occupation,11472,1.8,"Manager, property",,
Occupation,11475,2.8,"Manual or unskilled labor, general, light effort",,
Occupation,11476,4.5,"Manual or unskilled labor, general, moderate effort",,
Occupation,11477,6.5,"Manual or unskilled labor, general, vigorous effort",,
Occupation,11480,4.3,"Masonary, concrete, moderate effort",,
Occupation,11482,2.5,"Masonry, concrete, light effort",,
Occupation,11485,5.5,"Massage therapist, standing",,
Occupation,11486,2.3,"Mail carrier, walking to deliver mail",,
Occupation,11487,1.5,"Mail delivery, motorbike",,
Occupation,11488,3.5,"Mail delivery, Electronically Assisted Bicycle",,
Occupation,11490,7.5,"Moving, carrying or pushing heavy objects, 75","lbs or more, only active time (e.g., desks,",moving van work)
Occupation,11493,8.5,"Mining, general services, drilling, mining support jobs (mechanical, welding, pipe installation, general construction)",,
Occupation,11495,12,"Skindiving or SCUBA diving as a frogman,",Navy Seal,
Occupation,11500,2.5,"Operating heavy duty equipment, automated,",not driving,
Occupation,11510,3.5,"Orange grove work, picking fruit",,
Occupation,11514,3.3,"Painting, house, furniture, moderate effort",,
Occupation,11516,3,Plumbing activities,,
Occupation,11520,2,"Printing, paper industry worker, standing",,
Occupation,11524,3.8,"Police Officer, Walking",,
Occupation,11525,2.5,"Police, directing traffic, standing",,
Occupation,11526,2,"Police, driving a squad car, sitting",,
Occupation,11527,1.3,"Police, riding in a squad car, sitting",,
Occupation,11528,4,"Police, making an arrest, standing",,
Occupation,11529,9,"Counter terrorism maneuvers, clearing building",,
Occupation,11530,2,"Shoe repair, general",,,
Occupation,11540,7.3,"Shoveling, digging ditches",,,
Occupation,11550,8.8,"Shoveling, more than 16 lbs/minute, deep","digging, vigorous effort",,
Occupation,11560,5,"Shoveling, less than 10 lbs/minute, moderate",effort,,
Occupation,11570,6.5,"Shoveling, 10 to 15 lbs/minute, vigorous effort",,,
Occupation,11580,1.5,"Sitting tasks, light effort (e.g., office work,","chemistry lab work, light","assembly repair, watch repair, reading, desk",work)
Occupation,11582,1.3,"Sitting, computer work",,,
Occupation,11583,1.3,"Standing workstation, typing, computer work",,,
Occupation,11585,1.3,"Sitting meetings, light effort, general, and/or with talking involved (e.g., eating at a business meeting)",,,
Occupation,11590,2.5,"Sitting tasks, moderate effort (e.g. pushing","heavy levers, riding mower/forklift, crane",operation),
Occupation,11593,2.8,"Sitting, teaching stretching or yoga, or light",effort exercise classes,,
Occupation,11600,1.8,"Standing tasks, light effort (e.g., bartending,store clerk, assembling, filing, duplicating,librarian, putting up a Christmas tree, standing and talking at work, changing clothes when teaching physical education)",
Occupation,11610,3.3,"Standing, light/moderate effort (e.g., assemble/repair heavy parts, welding, stocking,parts, auto repair, packing boxes, nursing patient care, laundry),"
Occupation,11615,4.5,"Standing, moderate effort, lifting items continuously, 10 – 20 lbs, with limited walking or resting",,,
Occupation,11620,3.8,"Standing, moderate effort, intermittent lifting","50 lbs, hitch or twisting ropes",,
Occupation,11630,4.5,"Standing, moderate/heavy tasks (e.g., lifting","more than 50 lbs, masonry, painting, paper",hanging),
Occupation,11650,2.3,"Patient care, healthcare activites",,,
Occupation,11660,3.5,"Patient care, room cleaning/preperation",,,
Occupation,11708,5.3,"Steel mill, moderate effort (e.g., fettling,","forging, tipping molds)",,
Occupation,11710,8.3,"Steel mill, vigorous effort (e.g., hand rolling,","merchant mill rolling, removing slag, tending",furnace),
Occupation,11720,2.3,"Tailoring, cutting fabric",,,
Occupation,11730,2.5,"Tailoring, general",,,
Occupation,11740,1.8,"Tailoring, hand sewing",,,
Occupation,11750,2.5,"Tailoring, machine sewing",,,
Occupation,11760,3.5,"Tailoring, pressing",,,
Occupation,11763,2,"Tailoring, weaving, light effort (e.g., finishing operations, washing, dyeing, inspecting cloth, counting yards, paperwork)",,,
Occupation,11765,4,"Tailoring, weaving, moderate effort (e.g. spinning and weaving operations, delivering, boxes of yarn to spinners, loading of warp bean, pinwinding, conewinding, warping, cloth, clutting)",
Occupation,11766,6.5,"Truck driving, loading and unloading truck,","tying down load, standing, walking and",carrying heavy loads,
Occupation,11767,2,"Truck driving, delivery truck, taxi, shuttlebus,",school bus,,
Occupation,11770,1.3,"Typing, electric, manual or computer",,,
Occupation,11780,6.3,Using heavy power tools such as pneumatic,"tools (e.g., jackhammers, drills, etc.)",,
Occupation,11790,7.8,"Using heavy tools (not power) such as shovel,","pick, tunnel bar, spade",,
Occupation,11791,2,"Walking on job, less than 2.0 mph, very slow","speed, in office or lab area",,
Occupation,11792,3.8,"Walking on job, 2.8 to 3.4 mph, in office, moderate","speed, not carrying anything",,
Occupation,11793,4.8,"Walking on job, 3.5 to 3.9 mph, in office, brisk speed,",not carrying anything,,
Occupation,11795,3.5,"Walking on job, 2.5 mph, slow speed, carrying",light objects less than 25 lbs,,
Occupation,11796,3,"Walking, gathering things at work, ready to",leave,,
Occupation,11797,3.8,"Walking, 2.5 mph, slow speed, carrying heavy",objects more than 25 lbs
Occupation,11800,4.5,"Walking, 3.0 mph, moderately and carrying",light objects less than 25 lbs
Occupation,11805,3.8,"Walking, pushing a wheelchair",
Occupation,11810,4.5,"Walking, 3.5 mph, briskly and carrying objects",less than 25 lbs
Occupation,11820,4,"Walking or walk downstairs or standing,",carrying objects about 25 to 49 lbs
Occupation,11830,5.5,"Walking or walk downstairs or standing,",carrying objects about 50 to 74 lbs
Occupation,11840,7,"Walking or walk downstairs or standing,",carrying objects about 75 to 99 lbs
Occupation,11850,7.3,"Walking or walk downstairs or standing,",carrying objects about 100 lbs or more
Occupation,11860,2.3,"Warehouse/Shipping Center, Loading/Unloading boxes",
Occupation,11862,4.3,"Warehouse/Shipping Center, Moving boxes (~5kg)",
Occupation,11870,3,"Working in scene shop, theater actor, backstage",employee
Occupation,11880,3.5,"Soldiers, military marching, unloaded 1.5-2.5 mph",
Occupation,11882,4,"Soldiers, military marching, 1.5-2.5 mph, 10 to 30 kg load",
Occupation,11884,5,"Airborne Shuffle, 2.5 to 3.5 mph, 20-30 kg load",
Occupation,11886,6.3,"Soldiers, military loaded marching, varying terrain, 25-40 kg load",
Occupation,11887,6,"Soldiers, walking, 2.8 mph, 5% grade, up to 21.5 kg load",
Occupation,11888,8.5,"Soldiers, walking,","2.8 mph, 10% grade, up to 21.5 kg load"
Occupation,11889,11,"Soldiers, walking,","2.8 mph, 15% grade, up to 21.5 kg load"
Occupation,11892,6,"Military activities, arterial field preparation, digging defensive positions",
Running,12010,6,Jog/walk combination (jogging component of less than 10 minutes) (Taylor Code 180),
Running,12020,7.5,"Jogging, general, self-selected pace",
Running,12025,4.8,"Jogging, in place",
Running,12026,3.3,Jogging 2.6 to 3.7 mph,
Running,12027,4.5,Jogging on a mini-tramp,
Running,12028,6.5,"Running, 4 to 4.2 mph (13 min/mile)",
Running,12029,7.8,Running 4.3 to 4.8 mph,
Running,12030,8.5,"Running, 5.0 to 5.2 mph (12 min/mile)",
Running,12045,9,"Running, 5.5 -5.8 mph",
Running,12050,9.3,"Running, 6-6.3 mph (10 min/mile)",
Running,12060,10.5,"Running, 6.7 mph (9 min/mile)",
Running,12070,11,"Running, 7 mph (8.5 min/mile)",
Running,12080,11.8,"Running, 7.5 mph (8 min/mile)",
Running,12090,12,"Running, 8 mph (7.5 min/mile)",
Running,12100,12.5,"Running, 8.6 mph (7 min/mile)",
Running,12110,13,"Running, 9 mph (6.5 min/mile)",
Running,12115,14.8,"Running, 9.3 to 9.6 mph",
Running,12120,14.8,"Running, 10 mph (6 min/mile)",
Running,12130,16.8,"Running, 11 mph (5.5 min/mile)",
Running,12132,18.5,"Running, 12 mph (5.0 min/mile)",
Running,12134,19.8,"Running, 13 mph (4.6 min/mile)",
Running,12135,23,"Running, 14 mph (4.3 min/mile)",
Running,12140,9.3,"Running, cross country",
Running,12145,10.5,"Running, self-selected pace"
Running,12150,8,Running (Taylor Code 200)
Running,12170,15,"Running, stairs, up"
Running,12180,10,"Running, on a track, team practice"
Running,12184,18,"Running, on track, 500-1500m, competitive"
Running,12186,19.3,"Running, on track, 2000-3000m, competitive"
Running,12190,8,"Running, training, pushing a wheelchair or baby carrier"
Running,12200,13.3,"Running, marathon"
Running,12255,10.3,"Running uphill, 4.5mph, 5% incline"
Running,12260,13.3,"Running uphill, 6.0 mph, 5% incline"
Running,12265,15.5,"Running uphill, 7.0 mph, 5% incline"
Running,12325,17.5,"Running uphill, 5.0 to 5.9 mph, 15% incline"
Running,12335,8.8,"Running uphill, 0.6 to 0.79 mph, 30% incline"
Running,12337,10.3,"Running uphill, 0.8 to 0.99 mph, 30% incline"
Running,12339,11.8,"Running uphill, 1.0 to 1.19 mph, 30% incline"
Running,12341,13.5,"Running uphill, 1.2 to 1.39 mph, 30-40% incline"
Running,12343,14.8,"Running uphill, 1.4 to 1.59 mph, 30% incline"
Running,12345,16.3,"Running uphill, >1.6mph, 10-30% incline"
Running,12350,16,"Running, hilly terrain, ±100m change in elevation"
Running,12352,5.8,"Running downhill, 5.0 to 5.9 mph, -10% to -15%"
Running,12353,7.5,"Running downhill, 6.0 to 6.9 mph, -10% to -15%"
Running,12355,9,"Running downhill, 7.0 to 8.9 mph, -10% to -15%"
Running,12358,9.3,"Running downhill, 6.0 to 7.9 mph, -3% to -9%"
Running,12361,13.8,"Running downhill, 8.0 to 10.5 mph, -3% to -9%"
Running,12405,5.3,"Running/jogging, curved treadmill, 3.0 to 3.9 mph"
Running,12408,6.5,"Running/jogging, curved treadmill, 4.0 to 4.9 mph"
Running,12410,11,"Running curved treadmill, 5.0 to 5.9 mph"
Running,12412,12,"Running curved treadmill, 7.0 to 7.9 mph"
Running,12414,14,"Running curved treadmill, 8.0 to 8.9 mph"
Running,12416,16.8,"Running curved treadmill, 9.0 to 9.9 mph"
Running,12508,8.5,"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack"
Running,12510,9.5,"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack"
Running,12512,9.8,"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack"
Running,12514,12,"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack"
Running,12555,7.8,"Running, barefoot, 3.5-5.9 mph"
Running,12560,12,"Running, barefoot, 6.0-7.9 mph"
Running,12565,13.5,"Running, barefoot, 8.0-8.9 mph"
Running,12585,8,"Running, jogging stroller, indoors, 5 mph"
Running,12588,9,"Running, jogging stroller, indoors, 6 mph"
Running,12593,10,"Running, jogging stroller, outdoors, 5 mph"
Running,12595,11.5,"Running, jogging stroller, outdoors, 6 mph"
Running,12600,11.5,"Skipping, 5.5-6.0 mph"
Running,12620,13,"Triathlon, Running",
Self Care,13000,2.3,"Getting ready for bed, general, standing",
Self Care,13009,2.3,"Sitting on toilet, eliminating while standing or",squatting
Self Care,13010,1.5,"Bathing, sitting",
Self Care,13020,2.8,"Dressing, undressing, standing or sitting",
Self Care,13030,1.5,"Eating, sitting",
Self Care,13035,2,"Talking and eating or eating only, standing",
Self Care,13036,1.5,"Taking medication, sitting or standing",
Self Care,13040,2,"Grooming, washing hands, shaving, brushing","teeth, putting on make-up, sitting or standing"
Self Care,13045,2.5,"Hairstyling, standing",
Self Care,13046,1.3,"Having hair or nails done by someone else,",sitting
Self Care,13050,2,"Showering, toweling off, standing",
Sexual Activity,14010,5.8,"Active, vigorous effort",
Sexual Activity,14020,3,"General, moderate effort",
Sexual Activity,14030,1.8,"Passive, light effort, kissing, hugging",
Sports,15000,5.5,"Alaska Native Games, Eskimo Olympics, general",
Sports,15010,4.3,Archery (non-hunting),
Sports,15020,7,"Badminton, competitive (Taylor Code 450)",
Sports,15025,9,"Badminton, competitive, match play",
Sports,15030,5.5,"Badminton, social singles and doubles, general",
Sports,15040,8,"Basketball, game (Taylor Code 490)",
Sports,15050,6,"Basketball, non-game, general (Taylor Code 480)",
Sports,15055,7.5,"Basketball, general",
Sports,15060,7,"Basketball, officiating (Taylor Code 500)",
Sports,15062,5.8,"Basketball, officiating",
Sports,15070,5,"Basketball, shooting baskets",
Sports,15072,9.3,"Basketball, drills, practice",
Sports,15080,2.5,Billiards,
Sports,15090,3,Bowling (Taylor Code 390),
Sports,15092,3.8,"Bowling, indoor, bowling alley",
Sports,15100,12.3,"Boxing, in ring, general",
Sports,15110,5.8,"Boxing, punching bag",
Sports,15113,7,"Boxing, punching bag, 60 b/min",
Sports,15115,8.5,"Boxing, punching bag, 120 b/min",
Sports,15118,10.8,"Boxing, punching bag, 180 b/min",
Sports,15120,7.8,"Boxing, sparring",
Sports,15125,9.3,"Boxing, simulated boxing round, exercise",
Sports,15130,7,Broomball,
Sports,15135,5.8,"Children’s games, adults playing (e.g., hopscotch, 4-square, dodge ball, playground apparatus, t-ball, tetherball, marbles, jacks, arcade games, moderate effort)",
Sports,15138,6,"Cheerleading, gymnastic moves, competitive",
Sports,15140,4,"Coaching, football, soccer, basketball, baseball, swimming, etc.",
Sports,15142,8,"Coaching, actively playing sport with players"
Sports,15150,4.8,"Cricket, batting, bowling, fielding"
Sports,15160,3.3,Croquet
Sports,15170,4,Curling
Sports,15180,2.5,"Darts, wall or lawn"
Sports,15190,6,"Drag racing, pushing or driving a car"
Sports,15192,8.5,"Auto racing, open wheel"
Sports,15195,7.8,Futsal
Sports,15200,6,"Fencing, general"
Sports,15203,9.8,"Fencing, epee, competitive"
Sports,15205,10.5,Floorball
Sports,15210,8,"Football, competitive"
Sports,15230,8,"Football, touch, flag, general (Taylor Code 510)"
Sports,15232,4,"Football, touch, flag, light effort"
Sports,15235,2.5,"Football or baseball, playing catch"
Sports,15240,3,"Frisbee playing, general"
Sports,15250,8,"Frisbee, ultimate"
Sports,15252,3.8,Frisbee golf
Sports,15255,4.5,"Golf, general"
Sports,15265,4.3,"Golf, walking, carrying clubs"
Sports,15270,3.5,"Golf, miniature, driving range"
Sports,15285,4.5,"Golf, walking, pulling clubs"
Sports,15290,3.5,"Golf, using power cart (Taylor Code 070)"
Sports,15300,3.8,"Gymnastics, general"
Sports,15310,4,Hacky sack
Sports,15320,12,"Handball, general (Taylor Code 520)"
Sports,15330,8,"Handball, team"
Sports,15335,4,"High ropes course, multiple elements"
Sports,15340,3.5,Hang gliding
Sports,15350,7.8,"Hockey, field"
Sports,15360,8,"Hockey, ice, general"
Sports,15362,10,"Hockey, ice, competitive"
Sports,15370,5.5,"Horseback riding, general"
Sports,15380,4.5,"Horse grooming, maintenance, saddling tasks"
Sports,15390,5.8,"Horseback riding, trotting"
Sports,15395,7.3,"Horseback riding, canter or gallop"
Sports,15400,3.8,"Horseback riding, walking"
Sports,15402,9,"Horseback riding, jumping"
Sports,15403,6,"Horseback riding, reining"
Sports,15406,2.1,"Horseback riding, simulator"
Sports,15408,1.8,"Horse cart, driving, standing or sitting"
Sports,15410,3,"Horseshoe pitching, quoits"
Sports,15420,12,Jai alai
Sports,15425,5.3,"Martial Arts, different types, slower pace, novice performers, practice"
Sports,15430,10.3,"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)"
Sports,15432,14.3,"Taekwondo, combat simulation"
Sports,15433,11.3,Judo
Sports,15440,4,Juggling
Sports,15444,6.5,"Kendo, kihon-keiko style, moderate intensity"
Sports,15445,9.6,"Kendo, kirikaeshi style, high intensity"
Sports,15446,11.3,"Kendo, kakari keiko style, very high intensity"
Sports,15450,7,Kickball
Sports,15455,5.5,Kung Fu Gymnastics
Sports,15457,7.3,Kickboxing
Sports,15460,8,Lacrosse
