Major Heading,Activity Code,MET Value,Activity Description,
Sports,15465,3.3,"Lawn bowling, bocce ball, outdoor"
Sports,15470,4,"Motocross, off-road motor sports, all-terrain vehicle, general"
Sports,15475,5.3,"Motorcycle racing, Supormoto racing"
Sports,15477,7,Netball
Sports,15480,9,Orienteering
Sports,15490,10,"Paddleball, competitive"
Sports,15500,6,"Paddleball, casual, general (Taylor Code 460)"
Sports,15503,1.8,"Paragliding, moderate altitude"
Sports,15506,6.5,Prusik climbing
Sports,15510,8,"Polo, on horseback"
Sports,15520,10,"Racquetball, competitive"
Sports,15525,10.3,"Race Walking, 3.1 m/s (6.9 mph)"
Sports,15527,13.8,"Race Walking, 3.7 m/s (8.3 mph)"
Sports,15528,15.5,"Race Walking, racing speed, 4.0 m/s (8.95 mph)"
Sports,15530,7,"Racquetball, general (Taylor Code 470)"
Sports,15533,8,"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)"
Sports,15534,8.8,"Rock climbing, free boulder"
Sports,15535,7.3,"Rock climbing, ascending rock, high difficulty"
Sports,15536,10.5,"Rock climbing, speed climbing, very difficult"
Sports,15537,5.8,"Rock climbing, ascending or traversing rock, low-to-moderate difficulty"
Sports,15538,10.5,"Rock climbing, treadwall, 4-6 m/min"
Sports,15539,10.5,"Rock climbing, treadwall, 7-10 m/min"
Sports,15540,5,"Rock climbing, rappelling,"
Sports,15542,4,"Rodeo sports, general, light effort"
Sports,15544,5.5,"Rodeo sports, general, moderate effort"
Sports,15546,7,"Rodeo sports, general, vigorous effort"
Sports,15550,12.3,"Rope jumping, fast pace, 120-160 skips/min"
Sports,15551,11.8,"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce"
Sports,15552,8.3,"Rope jumping, slow pace, "
Sports,15554,10,"Rope jumping, double under or more"
Sports,15560,8.3,"Rugby, union, team, competitive"
Sports,15562,6.3,"Rugby, touch, non-competitive"
Sports,15570,3,Shuffleboard
Sports,15580,5,"Skateboarding, general, moderate effort"
Sports,15582,6,"Skateboarding, competitive, vigorous effort"
Sports,15590,7,"Skating, roller (Taylor Code 360)"
Sports,15591,7.5,"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace"
Sports,15592,9.8,"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training"
Sports,15593,12.3,"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training"
Sports,15594,15.5,"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort"
Sports,15595,6.8,"Skateboard, longboard, 13.3 km/h, slow speed"
Sports,15596,8.3,"Skateboard, longboard, 16.2 km/h, typical speed"
Sports,15597,10.5,"Skateboard, longboard, 18.4 km/h, fast speed"
Sports,15600,3.5,"Skydiving, base-jumping, bungee jumping"
Sports,15605,9.5,"Soccer, competitive"
Sports,15610,7,"Soccer, casual, general (Taylor Code 540)"
Sports,15615,3.5,Walking football/soccer
Sports,15620,5,"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)"
Sports,15625,4,"Softball, practice"
Sports,15630,4,"Softball, officiating"
Sports,15640,6,"Softball, pitching"
Sports,15645,3.3,"Sports spectator, very excited, emotional, physically moving"
Sports,15650,12,Squash (Taylor Code 530)
Sports,15652,7.3,"Squash, general"
Sports,15660,4,"Table tennis, ping pong (Taylor Code 410)"
Sports,15670,3.3,"Tai chi, qi gong, general"
Sports,15672,1.5,"Tai chi, qi gong, sitting, light effort"
Sports,15674,6,"Tai chi chuan, Yang style"
Sports,15675,6.8,"Tennis, general, moderate effort"
Sports,15676,8,"Tennis, general, competitive"
Sports,15680,6,"Tennis, doubles (Taylor Code 430)"
Sports,15685,4.5,"Tennis, doubles"
Sports,15690,8,"Tennis, singles (Taylor Code 420)"
Sports,15695,5,"Tennis, hitting balls, non-game play, moderate effort"
Sports,15700,6.3,"Trampoline, recreational"
Sports,15702,10.3,"Trampoline, competitive"
Sports,15710,4,Volleyball (Taylor Code 400)
Sports,15711,6,"Volleyball, competitive, in gymnasium"
Sports,15720,3,"Volleyball, non-competitive, 6 - 9 member team, general"
Sports,15725,8,"Volleyball, beach, in sand"
Sports,15730,6,"Wrestling, competitive (one match = 5 minutes)",
Sports,15731,7,"Wallyball, general",
Sports,15732,4,"Track and field (e.g., shot, discus, hammer throw)",
Sports,15733,6,"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)",
Sports,15734,10,"Track and field (e.g., steeplechase, hurdles)",
Transportation,16002,6.8,"Bicycling for transportation, moderate effort",
Transportation,16004,9.3,"Bicycling for transportation, high effort",
Transportation,16005,6.8,E-bike (electrically assisted) for transportation,
Transportation,16010,2,Automobile or light truck (not a semi) driving,
Transportation,16015,1.3,Riding in a car or truck,
Transportation,16016,1.3,Riding in a bus or train,
Transportation,16020,1.8,Flying airplane or helicoptor,
Transportation,16030,2.8,"Motor scooter, motorcycle",
Transportation,16035,6.3,Pulling rickshaw,
Transportation,16040,6,Pushing plane in and out of hangar,
Transportation,16050,2.5,"Truck, semi, tractor, ≥1 ton, or bus, driving",
Transportation,16060,3.5,"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface",
Walking,17010,7,Backpacking (Taylor Code 050),
Walking,17011,3.5,"Walking with a day pack, level ground, assumed in the city",
Walking,17012,7.8,"Backpacking,","hiking with a daypack, organized walking with daypack"
Walking,17016,4,"Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace",
Walking,17018,4.5,"Carrying 15 - 155 lb (6.8 - 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace",
Walking,17019,6.5,"Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace",
Walking,17021,2.3,"Carrying ~10 lb child, slow walking",
Walking,17025,8.3,"Carrying load upstairs, general",
Walking,17026,5.5,"Carrying load, 1 to 15 lb load, upstairs",
Walking,17027,6,"Carrying load, 16 to 24 lb load, upstairs",
Walking,17028,8,"Carrying load, 25 to 49 lb load, upstairs",
Walking,17029,10,"Carrying load, 50 to 74 lb load, upstairs",
Walking,17030,12,"Carrying load, >74 lb load, upstairs",
Walking,17031,3.8,Loading,"and/or unloading a car, implied walking"
Walking,17032,5,"Climbing hills, no load, 5 to 20% grade, very slow pace",
Walking,17033,3.8,"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace",
Walking,17034,5.3,"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace",
Walking,17035,7,"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace",
Walking,17036,8.8,"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace",
Walking,17037,10,"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace",
Walking,17038,8.5,"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)",
Walking,17039,15.5,"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph",
Walking,17040,16.3,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph",
Walking,17045,6.5,"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate",
Walking,17050,7.5,"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace",
Walking,17060,10,"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace"
Walking,17070,3.5,Descending stairs
Walking,17076,4.5,"Hauling water, head hauling, walking on flat surface"
Walking,17080,6,"Hiking, cross country (Taylor Code 040)"
Walking,17081,3.8,"Hiking slowly or ambling through fields and hillsides, no load"
Walking,17082,5.3,"Hiking or walking at a normal pace through fields and hillsides, no load"
Walking,17085,2.5,"Bird watching, walking and stopping"
Walking,17088,4.5,"Marching, moderate speed, military, no pack"
Walking,17090,8,"Marching rapidly, military, no pack"
Walking,17100,3.8,"Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph"
Walking,17105,3.8,"Pushing a wheelchair, non-occupational"
Walking,17110,6.5,Race walking
Walking,17130,8,"Stair climbing, using or climbing up ladder (Taylor Code 030)"
Walking,17131,6.8,"Stair climbing, general"
Walking,17133,4.5,"Stair climbing, slow pace"
Walking,17134,9.3,"Stair climbing, fast pace, one step at a time"
Walking,17136,7.5,"Stair climbing, two steps at a time"
Walking,17138,7.5,"Stair climbing, ascending and descending stairs"
Walking,17140,4.5,"Using crutches, level ground, general"
Walking,17142,7,"Using crutches, fast pace"
Walking,17145,4.3,Using medical knee scooter
Walking,17150,2.3,"Walking, household"
Walking,17151,2.3,"Walking, less than 2.0 mph, level, strolling, very slow"
Walking,17152,2.8,"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface"
Walking,17160,3.5,Walking for pleasure (Taylor Code 010)
Walking,17161,2.5,"Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite"
Walking,17162,2.5,Walking to neighbor’s house or family’s house for social reasons
Walking,17165,3,Walking the dog
Walking,17170,3,"Walking, 2.5 mph, firm, level surface"
Walking,17180,3.3,"Walking, 2.5 mph, downhill"
Walking,17190,3.8,"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface"
Walking,17200,4.8,"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise"
Walking,17220,5.5,"Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace"
Walking,17230,7,"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk"
Walking,17231,8.5,"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface"
Walking,17250,3.5,"Walking, for pleasure, work break (Taylor Code xxx)"
Walking,17255,4,"Walking, self-selected speed, indoor track or outdoors, firm surface"
Walking,17260,4.8,"Walking, grass track"
Walking,17262,4.5,"Walking, normal pace, plowed field or sand"
Walking,17270,4,"Walking, to work or class (Taylor Code 015)"
Walking,17280,2.5,"Walking, to and from an outhouse"
Walking,17302,4.3,"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace"
Walking,17304,5.3,"Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace"
Walking,17305,8.5,"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace"
Walking,17310,8.8,"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace"
Walking,17313,10.8,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)"
Walking,17315,12.3,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)"
Walking,17320,6,"Walking, backward, 3.5 mph, level"
Walking,17325,7.8,"Walking, backward, 3.5 mph, uphill, 5% grade"
Walking,17330,8,"Walking, Teabag walk, Monty Python Ministry of Silly Walks"
Walking,17332,3.5,"Walking, Putey walk, Monty Python Ministry of Silly Walks"
Walking,17340,2.1,"Walking, treadmill, less than 1.0 mph, 0% grade"
Walking,17343,2.3,"Walking, treadmill, 1.0 mph, 0% grade"
Walking,17346,2.8,"Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.0 km/h)"
Walking,17349,3,"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade"
Walking,17352,3.5,"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade"
Walking,17355,3.8,"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade"
Walking,17358,4.8,"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade"
Walking,17361,5.8,"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade"
Walking,17364,6.8,"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade"
Walking,17367,8.3,"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade"
Walking,17382,3.3,"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph"
Walking,17412,3.3,"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles"
Walking,17434,4.8,"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load"
Walking,17438,5.8,"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load"
Walking,17455,8.3,"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace"
Walking,17475,7.8,"Walking treadmill, backwards, 2.5 mph, +10% grade"
Walking,17492,1.5,"Walking, with a walker or step-to gait on treadmill, 0.7 mph (1.1 km/h), 0% grade"
Water Activities,18010,2.5,"Boating, power, driving"
Water Activities,18012,1.3,"Boating, power, passenger, light"
Water Activities,18020,4,"Canoeing, on camping trip (Taylor Code 270)"
Water Activities,18025,3.3,"Canoeing, harvesting wild rice, knocking rice off the stalks"
Water Activities,18030,7,"Canoeing, portaging"
Water Activities,18040,2.8,"Canoeing, rowing, 2.0-3.9 mph, light effort"
Water Activities,18050,5.8,"Canoeing, rowing, 4.0-5.9 mph, moderate effort"
Water Activities,18060,12.5,"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort"
Water Activities,18070,3.5,"Canoeing, rowing, for pleasure, general (Taylor Code 250)"
Water Activities,18080,12,"Canoeing or rowing, in competition, crew or sculling (Taylor Code 260)"
Water Activities,18090,3,"Diving, springboard or platform"
Water Activities,18100,5,"Kayaking, moderate effort"
Water Activities,18104,13.5,"Kayaking, competition"
Water Activities,18106,9,"Kayaking, slalom, flat water"
Water Activities,18110,4,Paddle boat
Water Activities,18112,15.5,"Rowing, simulated crew in a water tank, single oar, 33 strokes/min,"
Water Activities,18114,15.5,"Rowing, single scull, ergometer, ergometer on slides, racing speed (32+ strokes/min, >10 mph)",
Water Activities,18120,3,"Sailing, boat and board sailing, windsurfing, ice sailing, general (Taylor Code 235)",
Water Activities,18130,4.5,"Sailing, in competition, general",
Water Activities,18132,9.3,"Sailing, in competition, high effort",
Water Activities,18140,3.3,"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure",
Water Activities,18142,2,"Sailing, dingy",
Water Activities,18150,6,"Skiing, water or wake boarding (Taylor Code 220)",
Water Activities,18160,7,"Jet skiing, driving, in water",
Water Activities,18180,15.8,"Skindiving, fast",
Water Activities,18190,11.8,"Skindiving, moderate",
Water Activities,18200,7,"Skindiving, scuba diving, general (Taylor Code 310)",
Water Activities,18202,5.3,"Scuba diving, general, light effort",
Water Activities,18204,5.8,"Scuba diving, general, moderate effort",
Water Activities,18206,5.5,"Scuba diving, professional diver",
Water Activities,18208,6.8,"Scuba diving, recreational diver",
Water Activities,18210,5,Snorkeling (Taylor Code 320),
Water Activities,18220,3,"Surfing, body or board, general",
Water Activities,18221,6.8,"Surfboard, paddling",
Water Activities,18222,5,"Surfing, body or board, competitive",
Water Activities,18224,6.5,"Stand up paddle boarding, general",
Water Activities,18225,2.8,"Stand up Paddleboard, standing, 10-19 strokes/min",
Water Activities,18226,3.8,"Stand up Paddleboard, standing, 20-29 strokes/min",
Water Activities,18227,5,"Stand up Paddleboard, standing, 30-39 strokes/min",
Water Activities,18228,9.8,"Stand up Paddleboard, standing, 40-49 strokes/min",
Water Activities,18229,11,"Stand up Paddleboard, standing, 50-69 strokes/min",
Water Activities,18230,9.8,"Swimming laps, freestyle, fast, vigorous effort",
Water Activities,18240,5.8,"Swimming laps, freestyle, slow, recreational",
Water Activities,18250,9.5,"Swimming, backstroke, training or competition",
Water Activities,18255,4.8,"Swimming, backstroke, recreational",
Water Activities,18260,10.3,"Swimming, breaststroke, general, training or",competition
Water Activities,18265,5.3,"Swimming breaststroke, recreational",
Water Activities,18270,13.8,"Swimming, butterfly, general",
Water Activities,18280,10.5,"Swimming, crawl, fast speed, ~75 yards/minute,",vigorous effort
Water Activities,18285,10.5,"Swimming, open water, 5k",
Water Activities,18290,8,"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort",
Water Activities,18292,5.8,"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort",
Water Activities,18294,14.5,"Swimming, crawl, elite swimmers, competition, >90 yards/minute",
Water Activities,18300,6,"Swimming, lake, ocean, river (Taylor Codes 280,",295)
Water Activities,18310,6,"Swimming, leisurely, not lap swimming, general",
Water Activities,18320,7,"Swimming, sidestroke, general",
Water Activities,18330,8,"Swimming, synchronized",
Water Activities,18340,9.8,"Swimming, treading water, fast, vigorous effort",
Water Activities,18350,3.5,"Swimming, treading water, moderate effort,",general
Water Activities,18352,2.3,"Tubing, floating on a river, general",
Water Activities,18355,5.5,"Water aerobics, water calisthenics, general",
Water Activities,18356,3.8,"Water aerobics, resistance exercises",
Water Activities,18358,7.5,"Water aerobics, high intensity",
Water Activities,18360,10,Water polo,
Water Activities,18365,3,Water volleyball,
Water Activities,18366,9.8,"Water jogging, vigorous effort",
Water Activities,18367,2.5,"Water walking, light effort, slow pace",
Water Activities,18368,4.8,"Water walking, moderate effort, moderate pace",
Water Activities,18369,6.8,"Water walking, vigorous effort, brisk pace",
Water Activities,18370,5,"Whitewater rafting, kayaking, or canoeing",
Water Activities,18374,6.5,"Water running, 30 steps/min, slow",
Water Activities,18375,7.5,"Water running, 40 steps/min, moderate",
Water Activities,18376,8.5,"Water running, 50 steps/min, fast",
Water Activities,18377,9.8,"Water running, 60 steps/min, very fast",
Water Activities,18380,5,"Windsurfing, not pumping for speed",
Water Activities,18385,11,"Windsurfing or kitesurfing, crossing trial",
Water Activities,18390,14,"Windsurfing, competition, pumping for speed",
Water Activities,18404,2.8,"Aquatic cycling, 25 W, 40-50 RPM",
Water Activities,18408,4.8,"Aquatic cycling, 25 W, 60-70 RPM",
Water Activities,18412,3.8,"Aquatic cycling, 50 W, 40-50 RPM",
Water Activities,18416,6,"Aquatic cycling,","50 W, 60-70 RPM"
Water Activities,18420,5,"Aquatic cycling, 75 W, 40-50 RPM",
Water Activities,18424,6.3,"Aquatic cycling, 75 W, 60-70 RPM",
Water Activities,18428,6.3,"Aquatic cycling, 100 W, 40-50 RPM",
Water Activities,18432,7.5,"Aquatic cycling, 100 W, 60-70 RPM",
Water Activities,18436,8.5,"Aquatic cycling, 80-89 RPM",
Water Activities,18440,10.3,"Aquatic cycling, 90+ RPM",
Winter Activities,19005,7.5,"Dog sledding, mushing",
Winter Activities,19006,2.5,"Dog sledding, passenger",
Winter Activities,19010,6,"Moving icehouse, set up/drill holes",
Winter Activities,19011,2,Ice fishing,
Winter Activities,19018,14,"Skating, ice dancing",
Winter Activities,19020,5.5,"Skating, ice, 9 mph or less",
Winter Activities,19030,7,"Skating, ice, general (Taylor Code 360)",
Winter Activities,19040,9,"Skating, ice, rapidly, more than 9 mph but not competitive",
Winter Activities,19045,9,"Skating Treadmill, 6 - 6.9 mph, 2% grade",
Winter Activities,19046,10,"Skating Treadmill, 7 - 7.9 mph, 2% grade",
Winter Activities,19047,10.5,"Skating Treadmill, 8 - 8.9 mph, 2% grade",
Winter Activities,19048,11,"Skating Treadmill, 9 - 9.9 mph, 2% grade",
Winter Activities,19050,13.8,"Skating, speed, competitive",
Winter Activities,19060,7,"Ski jumping, climb up carrying skis"
Winter Activities,19075,7,"Skiing, general"
Winter Activities,19080,6.8,"Skiing, cross country, 2.5 mph, slow or light effort, ski walking"
Winter Activities,19090,8.5,"Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general"
Winter Activities,19100,11.3,"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort"
Winter Activities,19110,14,"Skiing, cross country, elite skier, >8.0-11.9 mph, racing"
Winter Activities,19112,16,"Skiing, cross country, 12-16 mph, elite skier, racing"
Winter Activities,19115,9.5,"Skiing, cross-country skiing high-intensity training"
Winter Activities,19130,15.5,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering"
Winter Activities,19135,13.3,"Skiing, cross-country, skating"
Winter Activities,19140,13.5,"Skiing, cross-country, biathlon, skating technique"
Winter Activities,19142,12.8,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle"
Winter Activities,19144,12.8,"Biathlon training, 5 degree incline, 10.7 km/h (5 mph), with/without rifle"
Winter Activities,19146,9.3,"Skiing, slalom"
Winter Activities,19150,4.3,"Skiing, downhill, alpine or snowboarding, light effort, active time only"
Winter Activities,19160,6.3,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only"
Winter Activities,19170,8,"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only"
Winter Activities,19174,7.3,"Skiing, Alpine skiing high-intensity training"
Winter Activities,19180,7,"Sledding, tobogganing, bobsledding, luge (Taylor Code 370)"
Winter Activities,19190,5.3,"Snow shoeing, moderate effort"
Winter Activities,19192,10,"Snow shoeing, vigorous effort"
Winter Activities,19200,3.8,"Snowmobiling, driving, moderate pace, flat land"
Winter Activities,19201,7.5,"Snowboarding, recreational, moderate pace, mountain"
Winter Activities,19202,2,"Snowmobiling, passenger, light"
Winter Activities,19252,5.3,"Snow shoveling, by hand, moderate effort"
Winter Activities,19254,7.5,"Snow shoveling, by hand, vigorous effort"
Winter Activities,19260,2.5,"Snow blower, walking and pushing"
Winter Activities,19300,12.5,"Skiing, roller, elite racers"
Winter Activities,19305,5.5,"Rollerskiing, 10 - 12.9 km/h, no incline"
Winter Activities,19310,6.8,"Rollerskiing, 13 - 16.9 km/h, no incline"
Winter Activities,19315,8.3,"Rollerskiing, 17 - 19.9 km/h, no incline"
Winter Activities,19320,10.5,"Rollerskiing, 20 - 23.9 km/h, no incline"
Winter Activities,19325,15,"Rollerskiing, 24 - 27.9 km/h, no incline"
Winter Activities,19330,12.5,"Rollerskiing, 10-15 km/h, 2-5 degree incline"
Winter Activities,19335,14.3,"Rollerskiing, 16-22 km/h, 2-5 degree incline"
Winter Activities,19340,12.3,"Rollerskiing, 6-9 km/h, 6-10 degree incline"
Winter Activities,19345,16,"Rollerskiing, >10 km/h, 6-10 degree incline"
Winter Activities,19400,9,"Mountaineering, downhill climbing, walking down with rope"
Winter Activities,19405,10.3,"Mountaineering, downhill climbing/cross-country skiing"
Religious Activities,20000,1,"Sitting in church, in service, attending a ceremony, sitting quietly"
Religious Activities,20001,2,"Sitting, playing an instrument at church"
Religious Activities,20005,1.8,"Sitting in church, talking or singing, attending a ceremony, sitting, active participation"
Religious Activities,20010,1.5,"Sitting, reading religious materials at home"
Religious Activities,20015,1.3,"Standing quietly in church, attending a ceremony"
Religious Activities,20020,2,"Standing, singing in church, attending a ceremony, standing, active participation"
Religious Activities,20025,1.3,"Kneeling in church or at home, praying"
Religious Activities,20030,1.3,"Standing, talking in church"
Religious Activities,20035,2,Walking in church
Religious Activities,20036,2,"Walking, less than 2.0 mph, very slow"
Religious Activities,20037,3.8,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything"
Religious Activities,20038,4.8,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything"
Religious Activities,20039,2,"Walk/stand combination for religious purposes, usher"
Religious Activities,20040,5,"Praise with dance or run, spiritual dancing in church"
Religious Activities,20045,2.3,Serving food at church
Religious Activities,20046,2,Preparing food at church
Religious Activities,20047,3.3,"Washing dishes, cleaning kitchen at church"
Religious Activities,20050,1.5,Eating at church
Religious Activities,20055,2,"Eating/talking at church or standing eating, American Indian Feast days"
Religious Activities,20060,3.3,Cleaning church
Religious Activities,20061,4,General yard work at church
Religious Activities,20065,3.8,"Standing , moderate effort (e.g., lifting heavy objects, assembling at fast rate)"
Religious Activities,20095,4.5,"Standing, moderate-to-heavy effort, manual labor, lifting ≥ 50 lbs, heavy maintenance"
Religious Activities,20100,1.3,"Typing, electric, manual, or computer"
Volunteer Activities,21000,1.3,"Sitting, meeting, general, and/or with talking involved"
Volunteer Activities,21005,1.5,"Sitting, light office work, in general"
Volunteer Activities,21010,2.5,"Sitting, moderate work"
Volunteer Activities,21015,1.8,"Standing, light work (filing, talking, assembling)"
Volunteer Activities,21016,2,"Sitting, child care, only active periods"
Volunteer Activities,21017,3.5,"Standing, child care, only active periods"
Volunteer Activities,21018,3.5,"Walk/run play with children, moderate, only active periods"
Volunteer Activities,21019,5.8,"Walk/run play with children, vigorous, only active periods"
Volunteer Activities,21020,3.3,"Standing, light/moderate work (e.g., pack boxes, assemble/repair, set up chairs/furniture)"
Volunteer Activities,21025,3.5,"Standing, moderate (e.g., lifting 50 lbs., assembling at fast rate)"
Volunteer Activities,21030,4.5,"Standing, moderate/heavy work"
Volunteer Activities,21035,1.3,"Typing, electric, manual, or computer"
Volunteer Activities,21040,2.3,"Walking, less than 2.0 mph, very slow"
Volunteer Activities,21045,3.8,"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything"
Volunteer Activities,21050,4.8,"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything"
Volunteer Activities,21055,3.5,"Walking, 2.5 mph slowly and carrying objects less than 25 pounds"
Volunteer Activities,21060,4.5,"Walking, 3.0 mph moderately and carrying objects less than 25 pounds, pushing something"
Volunteer Activities,21065,4.5,"Walking, 3.5 mph, briskly and carrying objects less than 25 pounds"
Volunteer Activities,21070,3,"Walk/stand combination, for volunteer purposes"
Video Games,22040,1.3,"Seated, video game, handheld controller (inactive)"
Video Games,22120,1.5,"Video game, handheld controller (light effort)"
Video Games,22160,2.3,"Video game, light effort (Wii Fit, yoga, bowling, etc)"
Video Games,22200,3,"Active video game, motion sensing game/using upper body (light to moderate effort)"
Video Games,22240,4,"Active video game, motion sensing game/using total body (moderate effort)"
Video Games,22280,5,"Active video game, motion sensing game/using total body (moderate-to-vigorous effort)"
Video Games,22320,7.5,"Active video game, motion sensing game/using total body, exergames, workouts, dancing (vigorous effort)"
Video Games,22360,9.8,"Conditioning/exercise virtual reality fitness, vigorous intensity"
